Date : 2024-01-15 12:05:23
Directory : f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT
Total : 1235 files,  599698 codes, 274558 comments, 107903 blanks, all 982159 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common                                                                                                                   |        150 |     12,112 |      2,686 |      1,600 |     16,398 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest                                                                                                             |         23 |        779 |        621 |        261 |      1,661 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc                                                                                                         |         19 |        724 |        601 |        241 |      1,566 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc (Files)                                                                                                 |         14 |        571 |        473 |        197 |      1,241 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc\arr_desc                                                                                                |          1 |        101 |         98 |         22 |        221 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc\opt_arg                                                                                                 |          3 |         34 |          6 |         11 |         51 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\inc\util                                                                                                    |          1 |         18 |         24 |         11 |         53 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\JTest\src                                                                                                         |          4 |         55 |         20 |         20 |         95 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc                                                                                                               |         43 |      1,849 |        779 |        427 |      3,055 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc (Files)                                                                                                       |          3 |         40 |         47 |         14 |        101 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\basic_math_tests                                                                                              |          4 |        200 |         87 |         56 |        343 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\complex_math_tests                                                                                            |          4 |        158 |         92 |         49 |        299 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\controller_tests                                                                                              |          4 |         49 |         31 |         23 |        103 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\fast_math_tests                                                                                               |          3 |         92 |         28 |         23 |        143 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\filtering_tests                                                                                               |          4 |        104 |         62 |         34 |        200 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\intrinsics_tests                                                                                              |          3 |        153 |         28 |         24 |        205 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\matrix_tests                                                                                                  |          4 |        315 |         82 |         57 |        454 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\statistics_tests                                                                                              |          4 |        121 |         61 |         47 |        229 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\support_tests                                                                                                 |          4 |         86 |         57 |         32 |        175 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\templates                                                                                                     |          2 |        378 |        133 |         37 |        548 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\transform_tests                                                                                               |          4 |        153 |         71 |         31 |        255 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform                                                                                                          |         13 |        390 |        404 |        180 |        974 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform (Files)                                                                                                  |         11 |        299 |        374 |        141 |        814 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\ARMCC                                                                                                    |          1 |         22 |         15 |         16 |         53 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\GCC                                                                                                      |          1 |         69 |         15 |         23 |        107 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src                                                                                                               |         71 |      9,094 |        882 |        732 |     10,708 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src (Files)                                                                                                       |          3 |        290 |        153 |        108 |        551 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests                                                                                              |         11 |        321 |         50 |         70 |        441 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests                                                                                            |          8 |        241 |         28 |         53 |        322 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests                                                                                              |          5 |        694 |         64 |         41 |        799 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\fast_math_tests                                                                                               |          2 |        379 |         11 |         14 |        404 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests                                                                                               |          8 |      2,125 |        209 |        172 |      2,506 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\intrinsics_tests                                                                                              |          2 |        233 |         11 |          9 |        253 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests                                                                                                  |         11 |        594 |        106 |         98 |        798 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests                                                                                              |          9 |        251 |         56 |         56 |        363 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests                                                                                                 |          5 |        175 |         34 |         40 |        249 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests                                                                                               |          7 |      3,791 |        160 |         71 |      4,022 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs                                                                                                                  |         57 |      6,737 |      1,083 |      1,788 |      9,608 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\inc                                                                                                              |          1 |      1,067 |         80 |        250 |      1,397 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src                                                                                                              |         56 |      5,670 |      1,003 |      1,538 |      8,211 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\BasicMathFunctions                                                                                           |          9 |        478 |          0 |         79 |        557 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\ComplexMathFunctions                                                                                         |          6 |        274 |          2 |         45 |        321 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\ControllerFunctions                                                                                          |          2 |         74 |         18 |         28 |        120 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\FastMathFunctions                                                                                            |          3 |         29 |          0 |         11 |         40 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\FilteringFunctions                                                                                           |         10 |      2,485 |        920 |        875 |      4,280 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\HelperFunctions                                                                                              |          2 |        248 |          0 |         50 |        298 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\Intrinsics                                                                                                   |          1 |        167 |          8 |         64 |        239 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\MatrixFunctions                                                                                              |          7 |        411 |          9 |        110 |        530 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\StatisticsFunctions                                                                                          |          7 |        439 |          3 |         66 |        508 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\SupportFunctions                                                                                             |          5 |        248 |          0 |         47 |        295 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\src\TransformFunctions                                                                                           |          4 |        817 |         43 |        163 |      1,023 |
| Drivers\CMSIS\DSP\Examples                                                                                                                                   |         28 |     26,299 |      2,894 |        969 |     30,162 |
| Drivers\CMSIS\DSP\Examples\ARM                                                                                                                               |         28 |     26,299 |      2,894 |        969 |     30,162 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_class_marks_example                                                                                                       |          1 |         59 |        120 |         33 |        212 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_convolution_example                                                                                                       |          3 |        319 |        337 |        123 |        779 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_dotproduct_example                                                                                                        |          1 |         56 |        103 |         20 |        179 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_fft_bin_example                                                                                                           |          2 |        287 |        151 |         30 |        468 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_fir_example                                                                                                               |          4 |        361 |        406 |        133 |        900 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example                                                                                                 |          4 |        483 |        433 |        162 |      1,078 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_linear_interp_example                                                                                                     |          4 |     23,846 |        381 |        126 |     24,353 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_matrix_example                                                                                                            |          3 |        295 |        338 |        132 |        765 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_signal_converge_example                                                                                                   |          4 |        503 |        409 |        149 |      1,061 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_sin_cos_example                                                                                                           |          1 |         42 |         94 |         26 |        162 |
| Drivers\CMSIS\DSP\Examples\ARM\arm_variance_example                                                                                                          |          1 |         48 |        122 |         35 |        205 |
| Drivers\CMSIS\DSP\Include                                                                                                                                    |          3 |      3,038 |      3,257 |      1,052 |      7,347 |
| Drivers\CMSIS\DSP\Source                                                                                                                                     |        271 |     89,677 |     31,805 |     15,757 |    137,239 |
| Drivers\CMSIS\DSP\Source\BasicMathFunctions                                                                                                                  |         35 |      1,556 |      2,558 |        973 |      5,087 |
| Drivers\CMSIS\DSP\Source\CommonTables                                                                                                                        |          2 |     21,778 |        645 |        134 |     22,557 |
| Drivers\CMSIS\DSP\Source\ComplexMathFunctions                                                                                                                |         18 |      1,260 |      1,433 |        619 |      3,312 |
| Drivers\CMSIS\DSP\Source\ControllerFunctions                                                                                                                 |          8 |        171 |        417 |        111 |        699 |
| Drivers\CMSIS\DSP\Source\FastMathFunctions                                                                                                                   |          8 |        267 |        466 |        118 |        851 |
| Drivers\CMSIS\DSP\Source\FilteringFunctions                                                                                                                  |         99 |     16,137 |     15,824 |      8,771 |     40,732 |
| Drivers\CMSIS\DSP\Source\MatrixFunctions                                                                                                                     |         25 |      2,731 |      2,665 |      1,405 |      6,801 |
| Drivers\CMSIS\DSP\Source\StatisticsFunctions                                                                                                                 |         25 |      1,270 |      1,891 |        644 |      3,805 |
| Drivers\CMSIS\DSP\Source\SupportFunctions                                                                                                                    |         20 |        756 |      1,373 |        535 |      2,664 |
| Drivers\CMSIS\DSP\Source\TransformFunctions                                                                                                                  |         31 |     43,751 |      4,533 |      2,447 |     50,731 |
| Drivers\CMSIS\Device                                                                                                                                         |         15 |    191,217 |     14,547 |     15,618 |    221,382 |
| Drivers\CMSIS\Device\ST                                                                                                                                      |         15 |    191,217 |     14,547 |     15,618 |    221,382 |
| Drivers\CMSIS\Device\ST\STM32H7xx                                                                                                                            |         15 |    191,217 |     14,547 |     15,618 |    221,382 |
| Drivers\CMSIS\Device\ST\STM32H7xx\Include                                                                                                                    |         10 |    190,645 |     13,639 |     15,281 |    219,565 |
| Drivers\CMSIS\Device\ST\STM32H7xx\Source                                                                                                                     |          5 |        572 |        908 |        337 |      1,817 |
| Drivers\CMSIS\Device\ST\STM32H7xx\Source\Templates                                                                                                           |          5 |        572 |        908 |        337 |      1,817 |
| Drivers\CMSIS\Include                                                                                                                                        |         21 |     15,939 |      7,646 |      5,694 |     29,279 |
| Drivers\CMSIS\NN                                                                                                                                             |         73 |      6,219 |      4,058 |      1,623 |     11,900 |
| Drivers\CMSIS\NN\Examples                                                                                                                                    |         16 |        291 |        342 |        166 |        799 |
| Drivers\CMSIS\NN\Examples\ARM                                                                                                                                |         16 |        291 |        342 |        166 |        799 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples                                                                                                                |         16 |        291 |        342 |        166 |        799 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10                                                                                                        |          9 |        156 |        168 |         90 |        414 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10 (Files)                                                                                                |          4 |        126 |         98 |         51 |        275 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10\RTE                                                                                                    |          5 |         30 |         70 |         39 |        139 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10\RTE\Compiler                                                                                           |          1 |          4 |         30 |         11 |         45 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10\RTE\_ARMCM0                                                                                            |          1 |          8 |         10 |          7 |         25 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10\RTE\_ARMCM3                                                                                            |          1 |          6 |         10 |          7 |         23 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10\RTE\_ARMCM4_FP                                                                                         |          1 |          6 |         10 |          7 |         23 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\cifar10\RTE\_ARMCM7_SP                                                                                         |          1 |          6 |         10 |          7 |         23 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru                                                                                                            |          7 |        135 |        174 |         76 |        385 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru (Files)                                                                                                    |          2 |        105 |        104 |         37 |        246 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru\RTE                                                                                                        |          5 |         30 |         70 |         39 |        139 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru\RTE\Compiler                                                                                               |          1 |          4 |         30 |         11 |         45 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru\RTE\_ARMCM0                                                                                                |          1 |          8 |         10 |          7 |         25 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru\RTE\_ARMCM3                                                                                                |          1 |          6 |         10 |          7 |         23 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru\RTE\_ARMCM4_FP                                                                                             |          1 |          6 |         10 |          7 |         23 |
| Drivers\CMSIS\NN\Examples\ARM\arm_nn_examples\gru\RTE\_ARMCM7_SP                                                                                             |          1 |          6 |         10 |          7 |         23 |
| Drivers\CMSIS\NN\Include                                                                                                                                     |          3 |        389 |        775 |        110 |      1,274 |
| Drivers\CMSIS\NN\NN_Lib_Tests                                                                                                                                |         23 |      1,609 |        392 |        407 |      2,408 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test                                                                                                                        |         23 |      1,609 |        392 |        407 |      2,408 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test (Files)                                                                                                                |          2 |        585 |         55 |        241 |        881 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE                                                                                                                    |          4 |         34 |         40 |         28 |        102 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM0                                                                                                            |          1 |          4 |         10 |          7 |         21 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM3                                                                                                            |          1 |         10 |         10 |          7 |         27 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM4_FP                                                                                                         |          1 |         10 |         10 |          7 |         27 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM7_SP                                                                                                         |          1 |         10 |         10 |          7 |         27 |
| Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations                                                                                                    |         17 |        990 |        297 |        138 |      1,425 |
| Drivers\CMSIS\NN\Source                                                                                                                                      |         31 |      3,930 |      2,549 |        940 |      7,419 |
| Drivers\CMSIS\NN\Source\ActivationFunctions                                                                                                                  |          4 |        138 |        215 |         59 |        412 |
| Drivers\CMSIS\NN\Source\ConvolutionFunctions                                                                                                                 |         13 |      2,109 |      1,152 |        392 |      3,653 |
| Drivers\CMSIS\NN\Source\FullyConnectedFunctions                                                                                                              |          6 |        968 |        565 |        282 |      1,815 |
| Drivers\CMSIS\NN\Source\NNSupportFunctions                                                                                                                   |          5 |        372 |        358 |        117 |        847 |
| Drivers\CMSIS\NN\Source\PoolingFunctions                                                                                                                     |          1 |        265 |        122 |         62 |        449 |
| Drivers\CMSIS\NN\Source\SoftmaxFunctions                                                                                                                     |          2 |         78 |        137 |         28 |        243 |
| Drivers\CMSIS\RTOS                                                                                                                                           |          1 |        228 |        347 |        124 |        699 |
| Drivers\CMSIS\RTOS2                                                                                                                                          |          7 |      1,204 |        941 |        456 |      2,601 |
| Drivers\CMSIS\RTOS2\Include                                                                                                                                  |          2 |        293 |        381 |        155 |        829 |
| Drivers\CMSIS\RTOS2\Source                                                                                                                                   |          3 |        248 |        137 |        102 |        487 |
| Drivers\CMSIS\RTOS2\Template                                                                                                                                 |          2 |        663 |        423 |        199 |      1,285 |
| Drivers\CMSIS\RTOS\Template                                                                                                                                  |          1 |        228 |        347 |        124 |        699 |
| Drivers\STM32H7xx_HAL_Driver                                                                                                                                 |        231 |    134,605 |    149,752 |     39,084 |    323,441 |
| Drivers\STM32H7xx_HAL_Driver\Inc                                                                                                                             |        120 |     52,505 |     84,595 |     16,042 |    153,142 |
| Drivers\STM32H7xx_HAL_Driver\Inc (Files)                                                                                                                     |        119 |     49,762 |     84,048 |     15,686 |    149,496 |
| Drivers\STM32H7xx_HAL_Driver\Inc\Legacy                                                                                                                      |          1 |      2,743 |        547 |        356 |      3,646 |
| Drivers\STM32H7xx_HAL_Driver\Src                                                                                                                             |        111 |     82,100 |     65,157 |     23,042 |    170,299 |
| Inc                                                                                                                                                          |         37 |      2,003 |        992 |        747 |      3,742 |
| Inc (Files)                                                                                                                                                  |          7 |        621 |        401 |        210 |      1,232 |
| Inc\Includes                                                                                                                                                 |         30 |      1,382 |        591 |        537 |      2,510 |
| Lwip_App                                                                                                                                                     |          7 |      1,575 |        207 |        168 |      1,950 |
| MDK-ARM                                                                                                                                                      |          4 |      8,932 |         10 |        861 |      9,803 |
| MDK-ARM (Files)                                                                                                                                              |          1 |         39 |          0 |          1 |         40 |
| MDK-ARM\RTE                                                                                                                                                  |          1 |          4 |         10 |          8 |         22 |
| MDK-ARM\RTE\_motorDriver                                                                                                                                     |          1 |          4 |         10 |          8 |         22 |
| MDK-ARM\motorDriver                                                                                                                                          |          2 |      8,889 |          0 |        852 |      9,741 |
| Middlewares                                                                                                                                                  |        237 |     65,630 |     39,842 |     12,378 |    117,850 |
| Middlewares\Third_Party                                                                                                                                      |        237 |     65,630 |     39,842 |     12,378 |    117,850 |
| Middlewares\Third_Party\FreeRTOS                                                                                                                             |         34 |     11,809 |     14,171 |      3,217 |     29,197 |
| Middlewares\Third_Party\FreeRTOS\Source                                                                                                                      |         34 |     11,809 |     14,171 |      3,217 |     29,197 |
| Middlewares\Third_Party\FreeRTOS\Source (Files)                                                                                                              |          7 |      7,067 |      2,795 |      1,656 |     11,518 |
| Middlewares\Third_Party\FreeRTOS\Source\CMSIS_RTOS                                                                                                           |          2 |      1,382 |        981 |        392 |      2,755 |
| Middlewares\Third_Party\FreeRTOS\Source\include                                                                                                              |         18 |      2,129 |      9,520 |        791 |     12,440 |
| Middlewares\Third_Party\FreeRTOS\Source\portable                                                                                                             |          7 |      1,231 |        875 |        378 |      2,484 |
| Middlewares\Third_Party\FreeRTOS\Source\portable\MemMang                                                                                                     |          5 |        743 |        491 |        208 |      1,442 |
| Middlewares\Third_Party\FreeRTOS\Source\portable\RVDS                                                                                                        |          2 |        488 |        384 |        170 |      1,042 |
| Middlewares\Third_Party\FreeRTOS\Source\portable\RVDS\ARM_CM4F                                                                                               |          2 |        488 |        384 |        170 |      1,042 |
| Middlewares\Third_Party\LwIP                                                                                                                                 |        203 |     53,821 |     25,671 |      9,161 |     88,653 |
| Middlewares\Third_Party\LwIP\src                                                                                                                             |        194 |     53,404 |     25,279 |      9,066 |     87,749 |
| Middlewares\Third_Party\LwIP\src\api                                                                                                                         |          8 |      5,071 |      1,587 |        653 |      7,311 |
| Middlewares\Third_Party\LwIP\src\apps                                                                                                                        |          1 |        823 |        357 |        163 |      1,343 |
| Middlewares\Third_Party\LwIP\src\apps\mqtt                                                                                                                   |          1 |        823 |        357 |        163 |      1,343 |
| Middlewares\Third_Party\LwIP\src\core                                                                                                                        |         34 |     17,014 |      8,189 |      2,468 |     27,671 |
| Middlewares\Third_Party\LwIP\src\core (Files)                                                                                                                |         17 |      9,255 |      4,529 |      1,228 |     15,012 |
| Middlewares\Third_Party\LwIP\src\core\ipv4                                                                                                                   |          8 |      4,401 |      2,118 |        651 |      7,170 |
| Middlewares\Third_Party\LwIP\src\core\ipv6                                                                                                                   |          9 |      3,358 |      1,542 |        589 |      5,489 |
| Middlewares\Third_Party\LwIP\src\include                                                                                                                     |        122 |     10,680 |      9,726 |      2,841 |     23,247 |
| Middlewares\Third_Party\LwIP\src\include\lwip                                                                                                                |         90 |      8,253 |      7,605 |      2,197 |     18,055 |
| Middlewares\Third_Party\LwIP\src\include\lwip (Files)                                                                                                        |         46 |      5,203 |      5,036 |      1,379 |     11,618 |
| Middlewares\Third_Party\LwIP\src\include\lwip\apps                                                                                                           |         23 |      1,216 |      1,518 |        454 |      3,188 |
| Middlewares\Third_Party\LwIP\src\include\lwip\priv                                                                                                           |          6 |        848 |        340 |        174 |      1,362 |
| Middlewares\Third_Party\LwIP\src\include\lwip\prot                                                                                                           |         15 |        986 |        711 |        190 |      1,887 |
| Middlewares\Third_Party\LwIP\src\include\netif                                                                                                               |         29 |      2,424 |      2,031 |        635 |      5,090 |
| Middlewares\Third_Party\LwIP\src\include\netif (Files)                                                                                                       |          5 |        102 |        174 |         52 |        328 |
| Middlewares\Third_Party\LwIP\src\include\netif\ppp                                                                                                           |         24 |      2,322 |      1,857 |        583 |      4,762 |
| Middlewares\Third_Party\LwIP\src\include\posix                                                                                                               |          3 |          3 |         90 |          9 |        102 |
| Middlewares\Third_Party\LwIP\src\include\posix (Files)                                                                                                       |          2 |          2 |         60 |          6 |         68 |
| Middlewares\Third_Party\LwIP\src\include\posix\sys                                                                                                           |          1 |          1 |         30 |          3 |         34 |
| Middlewares\Third_Party\LwIP\src\netif                                                                                                                       |         29 |     19,816 |      5,420 |      2,941 |     28,177 |
| Middlewares\Third_Party\LwIP\src\netif (Files)                                                                                                               |          4 |      1,487 |        627 |        287 |      2,401 |
| Middlewares\Third_Party\LwIP\src\netif\ppp                                                                                                                   |         25 |     18,329 |      4,793 |      2,654 |     25,776 |
| Middlewares\Third_Party\LwIP\system                                                                                                                          |          9 |        417 |        392 |         95 |        904 |
| Middlewares\Third_Party\LwIP\system\OS                                                                                                                       |          1 |        325 |        141 |         39 |        505 |
